Appt_Date	Appt_End	Appt_Start	Type	Division	Month	Day	Year
03/31/2015	13:00:00	11:30:00	A-T  Taping	Humanities	3	31	2015
03/30/2015	12:00:00	11:00:00	A-T  Taping	Science	3	30	2015
03/27/2015	12:00:00	11:00:00	A-T  Taping	Social Science	3	27	2015
03/27/2015	14:00:00	13:00:00	A-T  Taping	Humanities	3	27	2015
03/27/2015	12:00:00	11:00:00	A-T  Taping	Social Science	3	27	2015
03/25/2015	13:00:00	12:00:00	A-T  Taping	Humanities	3	25	2015
03/25/2015	10:00:00	09:00:00	A-T  Taping	Science	3	25	2015
03/25/2015	15:00:00	14:00:00	A-T  Taping	Science	3	25	2015
03/20/2015	15:00:00	09:30:00	A-T  Taping	Humanities	3	20	2015
03/12/2015	15:00:00	13:30:00	A-T  Taping	Science	3	12	2015
03/11/2015	16:00:00	15:00:00	A-T  Taping	Science	3	11	2015
03/11/2015	12:00:00	11:00:00	A-T  Taping	Science	3	11	2015
03/05/2015	16:00:00	14:30:00	A-T  Taping	Science	3	5	2015
03/05/2015	11:00:00	08:30:00	A-T  Taping	teaching fellows	3	5	2015
03/04/2015	12:00:00	10:00:00	A-T  Taping	Social Science	3	4	2015
03/03/2015	14:30:00	13:00:00	A-T  Taping	Science	3	3	2015
03/02/2015	11:00:00	10:00:00	A-T  Taping	Science	3	2	2015
02/26/2015	15:00:00	13:00:00	A-T  Taping	Social Science	2	26	2015
02/13/2015	11:00:00	10:00:00	A-T  Taping	misc lecture	2	13	2015
12/11/2014	16:00:00	12:30:00	A-T  Taping	Humanities	12	11	2014
12/10/2014	16:00:00	12:30:00	A-T  Taping	Humanities	12	10	2014
12/09/2014	16:00:00	12:30:00	A-T  Taping	Humanities	12	9	2014
12/09/2014	12:00:00	09:00:00	A-T  Taping	teaching fellows	12	9	2014
12/08/2014	11:30:00	09:00:00	A-T  Taping	teaching fellows	12	8	2014
12/05/2014	16:00:00	13:00:00	A-T  Taping	teaching fellows	12	5	2014
12/04/2014	14:00:00	12:30:00	A-T  Taping	Science	12	4	2014
12/03/2014	17:00:00	16:00:00	A-T  Taping	Social Science	12	3	2014
